2026-05-10 04:15:47 INFO Pomiar: deszczówka=140 cm (15%), szambo=76 cm (54%)
2026-05-10 04:17:04 INFO Pomiar: deszczówka=140 cm (15%), szambo=75 cm (54%)
2026-05-10 04:18:21 INFO Pomiar: deszczówka=140 cm (15%), szambo=75 cm (54%)
2026-05-10 04:19:37 INFO Pomiar: deszczówka=140 cm (15%), szambo=76 cm (54%)
2026-05-10 04:20:54 INFO Pomiar: deszczówka=140 cm (15%), szambo=75 cm (54%)
2026-05-10 04:22:10 INFO Pomiar: deszczówka=140 cm (15%), szambo=75 cm (54%)
2026-05-10 04:23:26 INFO Pomiar: deszczówka=140 cm (15%), szambo=76 cm (54%)
2026-05-10 04:24:43 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 04:26:00 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 04:27:17 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 04:28:33 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 04:29:49 INFO Pomiar: deszczówka=138 cm (16%), szambo=76 cm (54%)
2026-05-10 04:31:05 INFO Pomiar: deszczówka=139 cm (15%), szambo=75 cm (54%)
2026-05-10 04:32:22 INFO Pomiar: deszczówka=139 cm (15%), szambo=75 cm (54%)
2026-05-10 04:33:38 INFO Pomiar: deszczówka=138 cm (16%), szambo=76 cm (54%)
2026-05-10 04:34:55 INFO Pomiar: deszczówka=138 cm (16%), szambo=75 cm (54%)
2026-05-10 04:36:13 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 04:37:30 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 04:38:46 INFO Pomiar: deszczówka=138 cm (16%), szambo=76 cm (54%)
2026-05-10 04:40:03 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 04:41:19 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 04:42:37 INFO Pomiar: deszczówka=138 cm (16%), szambo=76 cm (54%)
2026-05-10 04:43:53 INFO Pomiar: deszczówka=139 cm (15%), szambo=75 cm (54%)
2026-05-10 04:45:09 INFO Pomiar: deszczówka=138 cm (16%), szambo=75 cm (54%)
2026-05-10 04:46:27 INFO Pomiar: deszczówka=138 cm (16%), szambo=75 cm (54%)
2026-05-10 04:47:44 INFO Pomiar: deszczówka=138 cm (16%), szambo=76 cm (54%)
2026-05-10 04:49:01 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 04:50:17 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 04:51:34 INFO Pomiar: deszczówka=139 cm (15%), szambo=75 cm (54%)
2026-05-10 04:52:50 INFO Pomiar: deszczówka=139 cm (15%), szambo=75 cm (54%)
2026-05-10 04:54:06 INFO Pomiar: deszczówka=139 cm (15%), szambo=75 cm (54%)
2026-05-10 04:55:24 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 04:56:40 INFO Pomiar: deszczówka=139 cm (15%), szambo=75 cm (54%)
2026-05-10 04:57:56 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 04:59:13 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 05:00:29 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 05:01:46 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 05:03:03 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 05:04:19 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 05:05:36 INFO Pomiar: deszczówka=139 cm (15%), szambo=75 cm (54%)
2026-05-10 05:06:53 INFO Pomiar: deszczówka=139 cm (15%), szambo=75 cm (54%)
2026-05-10 05:08:09 INFO Pomiar: deszczówka=139 cm (15%), szambo=75 cm (54%)
2026-05-10 05:09:26 INFO Pomiar: deszczówka=139 cm (15%), szambo=75 cm (54%)
2026-05-10 05:10:42 INFO Pomiar: deszczówka=139 cm (15%), szambo=75 cm (54%)
2026-05-10 05:11:58 INFO Pomiar: deszczówka=139 cm (15%), szambo=75 cm (54%)
2026-05-10 05:13:15 INFO Pomiar: deszczówka=139 cm (15%), szambo=75 cm (54%)
2026-05-10 05:14:31 INFO Pomiar: deszczówka=139 cm (15%), szambo=75 cm (54%)
2026-05-10 05:15:48 INFO Pomiar: deszczówka=139 cm (15%), szambo=75 cm (54%)
2026-05-10 05:17:05 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 05:18:22 INFO Pomiar: deszczówka=139 cm (15%), szambo=75 cm (54%)
2026-05-10 05:19:38 INFO Pomiar: deszczówka=138 cm (16%), szambo=75 cm (54%)
2026-05-10 05:20:55 INFO Pomiar: deszczówka=138 cm (16%), szambo=75 cm (54%)
2026-05-10 05:22:11 INFO Pomiar: deszczówka=138 cm (16%), szambo=75 cm (54%)
2026-05-10 05:23:27 INFO Pomiar: deszczówka=139 cm (15%), szambo=75 cm (54%)
2026-05-10 05:24:44 INFO Pomiar: deszczówka=138 cm (16%), szambo=76 cm (54%)
2026-05-10 05:26:00 INFO Pomiar: deszczówka=139 cm (15%), szambo=75 cm (54%)
2026-05-10 05:27:17 INFO Pomiar: deszczówka=138 cm (16%), szambo=75 cm (54%)
2026-05-10 05:28:33 INFO Pomiar: deszczówka=138 cm (16%), szambo=76 cm (54%)
2026-05-10 05:29:49 INFO Pomiar: deszczówka=138 cm (16%), szambo=76 cm (54%)
2026-05-10 05:31:05 INFO Pomiar: deszczówka=139 cm (15%), szambo=75 cm (54%)
2026-05-10 05:32:22 INFO Pomiar: deszczówka=139 cm (15%), szambo=75 cm (54%)
2026-05-10 05:33:38 INFO Pomiar: deszczówka=138 cm (16%), szambo=75 cm (54%)
2026-05-10 05:34:55 INFO Pomiar: deszczówka=139 cm (15%), szambo=75 cm (54%)
2026-05-10 05:36:11 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 05:37:28 INFO Pomiar: deszczówka=139 cm (15%), szambo=75 cm (54%)
2026-05-10 05:38:45 INFO Pomiar: deszczówka=139 cm (15%), szambo=75 cm (54%)
2026-05-10 05:40:01 INFO Pomiar: deszczówka=139 cm (15%), szambo=75 cm (54%)
